6223,语文,吉林市第一中学,唐淑静,正确使用标点符号1,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/4fc641ee5285890798205263217/v.f40.mp4
6225,政治,吉林市第一中学,杨博,高三政治3专题二生产经营与居民投资(一),https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/62fa724c5285890798229530401/k58p9LKHMm4A.mp4
6226,化学,吉林市第一中学,邵志鹏,化学实验基础（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/eb39edee5285890798224908030/NiDupDcigRcA.mp4
6227,物理,吉林市第一中学,鞠秋瑞,物体的动态平衡,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/391231b45285890798232736263/4oKcin49jjYA.mp4
6228,语文,吉林市第一中学,李薇,诗歌按题材分类鉴赏（第三课时）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/12870c5f5285890798198319608/UzRPCduUSLcA.mp4
6229,语文,吉林市第一中学,李薇,诗歌按题材分类鉴赏（第四课时）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/1dd89f6d5285890798201314772/xRRTAhVbmaoA.mp4
6230,语文,吉林市第一中学,王震平,图文（表文）转换——漫画,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/d37d89b35285890798200457555/WySJnqo1HRUA.mp4
6231,物理,吉林市第一中学,鞠秋瑞,受力分析共点力平衡,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/63dce0595285890798236366715/i4c3CNnA3hwA.mp4
6232,数学,吉林市第一中学,李娜,专题七 三角恒等变换与解三角形,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/38b4ea3a5285890798344971327/v.f40.mp4
6233,数学,吉林市第一中学,李娜,专题六 三角函数的图像和性质,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/2f6285f75285890798344575621/v.f40.mp4
6234,化学,吉林市第一中学,梁红梅,化学7+4强化训练（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/761486745285890798233089720/Yn7Ai1VIfFEA.mp4
6235,化学,吉林市第一中学,梁红梅,化学7+4强化训练（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/65adf05e5285890798229687505/l4aQnDVlWSoA.mp4
6236,语文,吉林市第一中学,唐淑静,正确使用标点符号2,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/6113025f5285890798229492719/gRLEKE5SidYA.mp4
6237,物理,吉林市第一中学,刘杰,力学中的曲线运动---万有引力与航天,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/dcd087305285890798200854560/Dwm1oBa0jz0A.mp4
6238,地理,吉林市第一中学,马丽莉,二轮复习 大气（3）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/745e36b35285890798202745067/6fQlmpzQVl8A.mp4
6239,地理,吉林市第一中学,马丽莉,二轮复习 大气（4）风的专题,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/ee5cb75b5285890798231829592/wezgDT1rTkUA.mp4
6240,历史,吉林市第一中学,曲刚,中国古代史总结（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/dcd228135285890798200857461/QUAL27o6RM0A.mp4
6241,历史,吉林市第一中学,曲刚,中华文明的阵痛与转型——晚清（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/2982f64d5285890798201815721/9ljjxe6N3A8A.mp4
6242,英语,吉林市第一中学,王莺霖,非谓语动词的基本用法（三）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/778c175d5285890798386408338/v.f40.mp4
6243,化学,吉林市第一中学,罗永娟,物质结构 元素周期律3,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/610416fb5285890798229488062/YabxcvNDHKQA.mp4
6244,历史,吉林市第一中学,王佳艺,明朝、清朝前期 第二课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/1dfd604d5285890798201335814/25hBUkAjVwoA.mp4
6245,历史,吉林市第一中学,王佳艺,民国前期 第一课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/dcd355965285890798200859921/tRAEDTV8rGsA.mp4
6246,历史,吉林市第一中学,王佳艺,民国前期 第二课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/9eabc0b85285890798223967261/gaAaF5KqSnsA.mp4
6247,物理,吉林市第一中学,秦艳丽,专题二 力与直线运动（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/eb4834505285890798224911155/AJk0sgxPfAYA.mp4
6248,生物,吉林市第一中学,祝静娜,细胞增殖专题（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/72bc05795285890798226139367/mw9EFv1v2Y0A.mp4
6249,历史,吉林市第一中学,刘金玉,通史整合二 中华文明的发展与曲折——魏晋南北朝时期,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/68a0b66c5285890798202232267/6BUmlf2EVsYA.mp4
6250,历史,吉林市第一中学,刘金玉,通史整合三 中华文明的成熟与繁荣——隋唐时期,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/6355f99e5285890798229582169/ygkAYCVuRQsA.mp4
6251,英语,吉林市第一中学,杨影,动词的时态（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/60b767955285890798229440590/BzKnUmawnR8A.mp4
6252,英语,吉林市第一中学,杨影,动词的时态（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/65aba9b65285890798229683015/E71PC6pY0dEA.mp4
6253,化学,吉林市第一中学,叶明,高考二轮总复习_电化学（2）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/15f966fd5285890798306473578/Wf5Rub4e86kA.mp4
6254,政治,吉林市第一中学,杨博,高三政治4专题二生产经营与居民投资(二),https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/62fb98765285890798229532751/VROHwsMIqKQA.mp4
6255,生物,吉林市第一中学,朱红梅,细胞的结构（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/9f0bacb45285890798230726581/MAiu8MAvyZAA.mp4
6256,生物,吉林市第一中学,朱红梅,细胞的结构（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/a1971edc5285890798230856585/t3Zo8sJFYx8A.mp4
6257,化学,吉林市第一中学,叶明,高考二轮总复习_电化学（1）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/24f4c4825285890798235978626/v.f40.mp4
6258,物理,吉林市第一中学,浦铁坤,带电粒子在电场中的曲线运动,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/72011e8a5285890798236988767/v.f40.mp4
6259,物理,吉林市第一中学,浦铁坤,带电粒子在磁场中的曲线运动,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/222e8cad5285890798235810053/Q7L8pEsc6aUA.mp4
6260,数学,吉林市第一中学,曹兰,二轮复习：等差数列与等比数列,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/6cd80bd45285890798236718214/Q2bmFbtHNfwA.mp4
6261,数学,吉林市第一中学,曹兰,二轮复习：数列的通项与求和（一）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/25039b1a5285890798235982812/v.f40.mp4
6262,化学,吉林市第一中学,谢凯,化学工艺流程综合题（一）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/5ed4b1065285890798236110133/v.f40.mp4
6263,化学,吉林市第一中学,谢凯,化学工艺流程综合题（二）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/5cff6e765285890798236082915/v.f40.mp4
6264,英语,吉林市第一中学,李巍,高考总复习 定语从句（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/2058b1165285890798235781541/1EKVVayAa5MA.mp4
6265,英语,吉林市第一中学,李巍,高考总复习 定语从句（二）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/5d017e575285890798236086147/v.f40.mp4
6266,生物,吉林市第一中学,吴桐,6.1芳香油的提取（一）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/226941135285890798235848201/v.f40.mp4
6267,生物,吉林市第一中学,吴桐,6.1芳香油的提取（二）,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/5f5616515285890798236185042/v.f40.mp4
6268,地理,吉林市第一中学,马丽莉,二轮复习 大气（5）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/410c04945285890798300166369/npK8I1ln5t8A.mp4
6269,地理,吉林市第一中学,马丽莉,专题三 水体运动规律,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/40c0f5035285890798300121712/91Sw4xihaAEA.mp4
6270,历史,吉林市第一中学,曲刚,中华文明的阵痛与转型——晚清（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/eb3aa0775285890798224909920/TDk0tGkDEqIA.mp4
6271,历史,吉林市第一中学,曲刚,中华文明的阵痛与转型——晚清（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/46abaff45285890798270315358/llN5XIuYfdUA.mp4
6272,历史,吉林市第一中学,曲刚,中华文明的觉醒与探索——民国后期(1927--1949)（一）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/610317c25285890798229486665/a3wvFxhzMJoA.mp4
6273,历史,吉林市第一中学,王佳艺,中国近现代史总结 第一课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/d8e987765285890798224155287/xK8CeVlbupsA.mp4
6274,历史,吉林市第一中学,王佳艺,中国近现代史总结 第二课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/d8fb9b515285890798224165155/E6kvgajnX0gA.mp4
6275,历史,吉林市第一中学,王佳艺,中国近现代史总结 第三课时,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/6347d5cb5285890798229579887/XUatWq3jNkMA.mp4
6276,历史,吉林市第一中学,刘金玉,通史整合三 中华文明的成熟与繁荣——宋元时期（1）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/63570d585285890798229584008/0CWFQzLSV88A.mp4
6277,历史,吉林市第一中学,刘金玉,通史整合三 中华文明的成熟与繁荣——宋元时期（2）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/6357b8255285890798229585758/tJ7e51o8P2gA.mp4
6278,英语,吉林市第一中学,杨影,主谓一致,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/9f0987f95285890798230722887/nA29apxNRP0A.mp4
6279,化学,吉林市第一中学,梁红梅,化学7+4强化训练（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/2d52fae85285890798232220038/la5vSjt8HKIA.mp4
6280,化学,吉林市第一中学,梁红梅,化学7+4强化训练（四）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/ceb6585a5285890798234585607/kGvOWWaCBI4A.mp4
6281,数学,吉林市第一中学,李娜,滚动复习2,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/dbf4c3ed5285890798272113470/PoylSCo2kUIA.mp4
6282,物理,吉林市第一中学,鞠秋瑞,电学中的平衡问题,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/65c448d45285890798236404285/4SY68qxUtmoA.mp4
6283,政治,吉林市第一中学,杨博,高三政治9微专题：经济活动的参与者-个人,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/22c107415285890798235893485/v.f40.mp4
6284,数学,吉林市第一中学,杨悦,统计与案例,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/a3528cb85285890798380199008/v.f40.mp4
6285,数学,吉林市第一中学,杨悦,滚动训练（三）讲评,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/8ecf43b15285890798264381241/7odUs74gaj8A.mp4
6286,数学,吉林市第一中学,鄂春雨,高三奥班训练（十九）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/2ad45e7e5285890798266448329/naRLdKwWIysA.mp4
6287,数学,吉林市第一中学,鄂春雨,高三奥班训练（十七）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/2ad2bdb75285890798266445433/dQN994xsCHkA.mp4
6288,语文,吉林市第一中学,王震平,扩展语句 压缩语段,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/8ebffe9c5285890798264376761/Ic5OUDk8AAEA.mp4
6289,政治,吉林市第一中学,杨博,高三政治10微专题：经济活动的参与者-企业,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/d10c8cfc5285890798234687309/d61DINiGkCMA.mp4
6290,物理,吉林市第一中学,浦铁坤,带电粒子在电场、磁场中的综合问题,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/b0b9d2d45285890798261717334/VIEOe8UFHGoA.mp4
6291,数学,吉林市第一中学,曹兰,二轮复习：数列的通项与求和（二）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/c6d5a37d5285890798268508473/0dMkekVwoNMA.mp4
6292,化学,吉林市第一中学,谢凯,化学工艺流程综合题（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/b321b1815285890798261828749/UnA9NzaLAi4A.mp4
6293,英语,吉林市第一中学,李巍,高考总复习 定语从句（三）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/b2fb4eb65285890798261804726/f6mknLy3UucA.mp4
6294,生物,吉林市第一中学,吴桐,6.2胡萝卜素的提取,https://1253868908.vod2.myqcloud.com/eba91399vodtransgzp1253868908/2279315d5285890798235854466/v.f40.mp4
6295,物理,吉林市第一中学,杨建华,分子动理论、物体内能,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/90a54d6e5285890798264410803/5r4JWZGSnZ0A.mp4
6296,数学,吉林市第一中学,刘波,限时训练（十八）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/90efe5de5285890798264454955/GOfGAUZh7psA.mp4
6297,化学,吉林市第一中学,林亚楠,化学7+4强化训练（六）,https://1253868908.vod2.myqcloud.com/378170f1vodgzp1253868908/aeaaf0155285890798261653840/yh3tM4X4Md0A.mp4
